gene_symbol,uniprotkb_ac
TRBV6-5,A0A0K0K1A5
TRBV30,A0A0K0K1B3
TRBV30,A0A0K0K1B3
TRBV11-1,A0A0K0K1C0
TRBV11-1,A0A0K0K1C0
TRBV27,A0A0K0K1C4
TRBV6-1,A0A0K0K1D8
TRBV6-1,A0A0K0K1D8
TRBV7-7,A0A0K0K1E9
TRBV7-7,A0A0K0K1E9
TRBV10-3,A0A0K0K1G6
TRBV10-2,A0A0K0K1G8
TRBV10-2,A0A0K0K1G8
ENSG00000274042,A0A0M3HER8
GOLGA6L10,A0A0M3HER8
IGHD5-12,A0A0U1RQB9
IGHD5-12,A0A0U1RQB9
GLYATL1B,A0A0U1RQE8
DPEP2NB,A0A0U1RQF7
ENSG00000179240,A0A0U1RQW1
NBDY,A0A0U1RRE5
CENPVL3,A0A0U1RRI6
MMP24OS,A0A0U1RRL7
SPTY2D1OS,A0A0U1RRN3
ZNF816-ZNF321P,A0A0X1KG74
CRYAA2,A0A140G945
RNF103-CHMP3,A0A140T963
KRTAP9-6,A0A140TA67
LCE6A,A0A183
LCE6A,A0A183
TUNAR,A0A1B0GTB2
C3orf85,A0A1B0GTC6
TEX49,A0A1B0GTD5
TEX49,A0A1B0GTD5
IQANK1,A0A1B0GTG1
TMEM272,A0A1B0GTI8
FAM237A,A0A1B0GTK4
FAM236D,A0A1B0GTK5
C20orf204,A0A1B0GTL2
ENSG00000226490,A0A1B0GTL3
MYMX,A0A1B0GTQ4
FAM95C,A0A1B0GTQ5
EDDM13,A0A1B0GTR0
ZC3H11B,A0A1B0GTU1
CTXND1,A0A1B0GTU2
DWORF,A0A1B0GTW0
TEX50,A0A1B0GTY4
CCDC196,A0A1B0GTZ2
SMIM28,A0A1B0GU29
SMIM28,A0A1B0GU29
TEX53,A0A1B0GU33
SMIM32,A0A1B0GUA5
TEX51,A0A1B0GUA7
TEX51,A0A1B0GUA7
BRD3OS,A0A1B0GUI7
PNMA8C,A0A1B0GUJ8
ENSG00000216921,A0A1B0GUP9
UBE2L5,A0A1B0GUS4
C10orf143,A0A1B0GUT2
C17orf113,A0A1B0GUU1
TEX48,A0A1B0GUV7
SMIM27,A0A1B0GUW7
ATP6V1FNB,A0A1B0GUX0
MARCOL,A0A1B0GUY1
GOLGA6L7,A0A1B0GV03
REELD1,A0A1B0GV85
CCDC194,A0A1B0GVG4
PRSS51,A0A1B0GVH4
C13orf42,A0A1B0GVH6
IQCM,A0A1B0GVH7
TMEM238L,A0A1B0GVL6
C11orf97,A0A1B0GVM6
ENSG00000283515,A0A1B0GVN2
C2orf92,A0A1B0GVN3
SPAAR,A0A1B0GVQ0
CCDC200,A0A1B0GVQ3
ENSG00000216921,A0A1B0GVR7
MDFIC2,A0A1B0GVS7
SMIM36,A0A1B0GVT2
SMIM35,A0A1B0GVV1
SMIM31,A0A1B0GVY4
ENSG00000216921,A0A1B0GVY8
MBD3L2B,A0A1B0GVZ6
TMEM269,A0A1B0GVZ9
EXOC1L,A0A1B0GW35
FAM95C,A0A1B0GW59
SERTM2,A0A1B0GWG4
LINC00672,A0A1B0GWH6
PVALEF,A0A1B0GWK0
TRBV7-6,A0A1B0GX31
TRBV6-4,A0A1B0GX49
TRBV6-4,A0A1B0GX49
ENSG00000282040,A0A1B0GX51
TRDV1,A0A1B0GX56
TRDV1,A0A1B0GX56
TRBV2,A0A1B0GX68
TRBV12-5,A0A1B0GX78
TRBV7-4,A0A1B0GX95
SCO2,A0A1W2PP80
ENSG00000283787,A0A1W2PPC1
KDM4F,A0A1W2PPD8
TAF11L14,A0A1W2PPL8
TAF11L12,A0A1W2PPW3
KANTR,A0A1W2PQU2
GSTT4,A0A1W2PR19
TLE7,A0A1W2PR48
SSU72P8,A0A1W2PR75
LINC02218,A0A1W2PRN6
IGHD6-13,A0A1Y8EI39
IGHD6-13,A0A1Y8EI39
IGHD6-19,A0A1Y8EKQ5
IGHD6-19,A0A1Y8EKQ5
ENSG00000205236,A0A286YEE6
ENSG00000284672,A0A286YF32
TMEM271,A0A286YF58
HNRNPA1P48,A0A2R8Y4L2
OR7E24,A0A2R8Y4Q1
IGF2,A0A2R8Y747
TINCR,A0A2R8Y7D0
H3.Y,A0A2R8Y7G9
B3GNT10,A0A2R8YCE0
OR5BS1P,A0A2R8YED5
OR2A1,A0A2R8YEG4
FOXO3B,A0A2Z4LIS9
MCTS2P,A0A3B3IRV3
