GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	DATE
UniProtKB	O43825	B3GALT2	enables	GO:0008532	F	ECO:0000318	IBA	PMID:21873635	PANTHER:PTN000130272|UniProtKB:Q9C0J1|UniProtKB:Q9NY97|UniProtKB:Q9Y2A9	9606	GO_Central		20170511
UniProtKB	O43825	B3GALT2	enables	GO:0008375	F	ECO:0000318	IBA	PMID:21873635	FB:FBgn0000221|PANTHER:PTN000130250|UniProtKB:Q7Z7M8|UniProtKB:Q9BYG0|UniProtKB:Q9C0J1|UniProtKB:Q9NY97|UniProtKB:Q9Y2A9	9606	GO_Central		20170511
UniProtKB	O43825	B3GALT2	enables	GO:0016758	F	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002659	9606	InterPro		20201205
UniProtKB	O43825	B3GALT2	enables	GO:0008499	F	ECO:0000304	TAS	PMID:9417100		9606	PINC		20030904
UniProtKB	O43825	B3GALT2	enables	GO:0047275	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.86	9606	UniProt		20201205
UniProtKB	O43825	B3GALT2	enables	GO:0008499	F	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O54905|ensembl:ENSMUSP00000046118	9606	Ensembl		20201205
UniProtKB	O43825	B3GALT2	enables	GO:0008499	F	ECO:0000314	IDA	PMID:9582303		9606	BHF-UCL		20170717
UniProtKB	O43909	EXTL3	enables	GO:0001888	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.223	9606	UniProt		20201205
UniProtKB	O60512	B4GALT3	enables	GO:0008378	F	ECO:0000304	TAS	PMID:9405390		9606	PINC		20030904
UniProtKB	O60512	B4GALT3	enables	GO:0003945	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.90	9606	UniProt		20201205
UniProtKB	O60512	B4GALT3	enables	GO:0003831	F	ECO:0000501	IEA	GO_REF:0000003	EC:2.4.1.38	9606	UniProt		20201205
UniProtKB	O60512	B4GALT3	enables	GO:0008378	F	ECO:0000314	IDA	PMID:9405390		9606	BHF-UCL		20170615
